Rank,Title,Runtime,Genre,Rating,Director,Lead,Votes,Budget
,,,,,,,,
1,Babylon,189,Comedy,7.3,Damien Chazelle,Brad Pitt,216,
,,,,,,,,
2,Black Panther: Wakanda Forever,161,Action,6.8,Ryan Coogler,Letitia Wright,71,
,,,,,,,,
3,Avatar: The Way of Water,192,Action,7.8,James Cameron,Sam Worthington,96,
,,,,,,,,
4,The Menu,107,Horror,7.2,Mark Mylod,Ralph Fiennes,81,
,,,,,,,,
5,The Banshees of Inisherin,114,Comedy,7.8,Martin McDonagh,Colin Farrell,40,
,,,,,,,,
6,Everything Everywhere All at Once,139,Action,8,Dan Kwan,Michelle Yeoh,106,
,,,,,,,,
7,Puss in Boots: The Last Wish,102,Animation,7.9,Joel Crawford,Antonio Banderas,230,
,,,,,,,,
8,White Noise,136,Comedy,5.7,Noah Baumbach,Adam Driver,104,
,,,,,,,,
9,The Whale,117,Drama,8,Darren Aronofsky,Brendan Fraser,98,
,,,,,,,,
10,The Fabelmans,151,Drama,7.6,Steven Spielberg,Michelle Williams,174,
,,,,,,,,
11,Tár,158,Drama,7.5,Todd Field,Cate Blanchett,135,
,,,,,,,,
12,M3GAN,102,Horror,6.4,Gerard Johnstone,Allison Williams,200,
,,,,,,,,
13,Bullet Train,127,Action,7.3,David Leitch,Brad Pitt,93,
,,,,,,,,
14,Triangle of Sadness,147,Comedy,7.4,Ruben Östlund,Charlbi Dean,235,
,,,,,,,,
15,Top Gun: Maverick,130,Action,8.3,Joseph Kosinski,Tom Cruise,163,
,,,,,,,,
16,Glass Onion,139,Comedy,7.2,Rian Johnson,Daniel Craig,110,
,,,,,,,,
17,Shotgun Wedding,100,Action,5.4,Jason Moore,Jennifer Lopez,78,
,,,,,,,,
18,A Man Called Otto,126,Comedy,7.6,Marc Forster,Tom Hanks,53,
,,,,,,,,
19,All Quiet on the Western Front,148,Action,7.8,Edward Berger,Felix Kammerer,43,
,,,,,,,,
20,Aftersun,102,Drama,7.7,Charlotte Wells,Paul Mescal,122,
,,,,,,,,
21,X,105,Horror,6.6,Ti West,Mia Goth,25,
,,,,,,,,
22,The Son,123,Drama,6.1,Florian Zeller,Vanessa Kirby,94,
,,,,,,,,
23,Magic Mike,110,Comedy,6.1,Steven Soderbergh,Channing Tatum,41,
,,,,,,,,
24,The Pale Blue Eye,128,Crime,6.6,Scott Cooper,Christian Bale,236,
,,,,,,,,
25,Ant-Man,117,Action,7.3,Peyton Reed,Paul Rudd,208,
,,,,,,,,
26,Harry Potter and the Sorcerer's Stone,152,Adventure,7.6,Chris Columbus,Daniel Radcliffe,224,
,,,,,,,,
27,Women Talking,104,Drama,7.5,Sarah Polley,Rooney Mara,152,
,,,,,,,,
28,Empire of Light,115,Drama,6.6,Sam Mendes,Olivia Colman,226,
,,,,,,,,
29,The Batman,176,Action,7.8,Matt Reeves,Robert Pattinson,206,
,,,,,,,,
30,Elvis,159,Biography,7.3,Baz Luhrmann,Tom Hanks,59,
,,,,,,,,
31,Ant-Man and the Wasp,118,Action,7,Peyton Reed,Paul Rudd,136,
,,,,,,,,
32,The Woman King,135,Action,6.7,Gina Prince-Bythewood,Viola Davis,154,
,,,,,,,,
33,Don't Worry Darling,123,Drama,6.2,Olivia Wilde,Florence Pugh,22,
,,,,,,,,
34,The VelociPastor,75,Action,5,Brendan Steere,Greg Cohan,184,
,,,,,,,,
35,Amsterdam,134,Comedy,6.1,David O. Russell,Christian Bale,203,
,,,,,,,,
36,Avatar,162,Action,7.9,James Cameron,Sam Worthington,9,
,,,,,,,,
37,Interstellar,169,Adventure,8.6,Christopher Nolan,Matthew McConaughey,19,
,,,,,,,,
38,Once Upon a Time in Hollywood,161,Comedy,7.6,Quentin Tarantino,Leonardo DiCaprio,219,
,,,,,,,,
39,Where the Crawdads Sing,125,Drama,7.2,Olivia Newman,Daisy Edgar-Jones,232,
,,,,,,,,
40,Barbarian,102,Horror,7,Zach Cregger,Georgina Campbell,34,
,,,,,,,,
41,Black Adam,125,Action,6.4,Jaume Collet-Serra,Dwayne Johnson,76,
,,,,,,,,
42,Legally Blonde,96,Comedy,6.4,Robert Luketic,Reese Witherspoon,75,
,,,,,,,,
43,Knives Out,130,Comedy,7.9,Rian Johnson,Daniel Craig,215,
,,,,,,,,
44,Love,135,Drama,6.1,Gaspar Noé,Aomi Muyock,186,
,,,,,,,,
45,Black Panther,134,Action,7.3,Ryan Coogler,Chadwick Boseman,223,
,,,,,,,,
46,"Lyle, Lyle, Crocodile",106,Animation,6.1,Josh Gordon,Javier Bardem,227,
,,,,,,,,
47,Thor: Love and Thunder,118,Action,6.3,Taika Waititi,Chris Hemsworth,112,
,,,,,,,,
48,Magic Mike XXL,115,Comedy,5.6,Gregory Jacobs,Channing Tatum,173,
,,,,,,,,
49,Valentine's Day,125,Comedy,5.7,Garry Marshall,Julia Roberts,28,
,,,,,,,,
50,Jurassic World: Dominion,147,Action,5.6,Colin Trevorrow,Chris Pratt,54,
,,,,,,,,
51,Dune,155,Action,8,Denis Villeneuve,Timothée Chalamet,201,
,,,,,,,,
52,Smile,115,Horror,6.6,Parker Finn,Sosie Bacon,23,
,,,,,,,,
53,Whitney Houston: I Wanna Dance with Somebody,144,Biography,6.7,Kasi Lemmons,Naomi Ackie,241,
,,,,,,,,
54,Pearl,103,Horror,7,Ti West,Mia Goth,144,
,,,,,,,,
55,Guillermo del Toro's Pinocchio,117,Animation,7.6,Guillermo del Toro,Ewan McGregor,231,
,,,,,,,,
56,The Lord of the Rings: The Fellowship of the Ring,178,Action,8.8,Peter Jackson,Elijah Wood,20,
,,,,,,,,
57,Avengers: Endgame,181,Action,8.4,Anthony Russo,Robert Downey Jr.,6,
,,,,,,,,
58,"Alice, Darling",89,Drama,5.4,Mary Nighy,Anna Kendrick,95,
,,,,,,,,
59,Bones and All,131,Drama,6.9,Luca Guadagnino,Timothée Chalamet,111,
,,,,,,,,
60,Skinamarink,100,Horror,5.1,Kyle Edward Ball,Lucas Paul,213,
,,,,,,,,
61,The Northman,137,Action,7.1,Robert Eggers,Alexander Skarsgård,72,
,,,,,,,,
62,F9: The Fast Saga,143,Action,5.2,Justin Lin,Vin Diesel,36,
,,,,,,,,
63,Fall,107,Thriller,6.4,Scott Mann,Grace Caroline Currey,172,
,,,,,,,,
64,Spider-Man: No Way Home,148,Action,8.2,Jon Watts,Tom Holland,221,
,,,,,,,,
65,The Notebook,123,Drama,7.8,Nick Cassavetes,Gena Rowlands,175,
,,,,,,,,
66,Nope,130,Horror,6.9,Jordan Peele,Daniel Kaluuya,64,
,,,,,,,,
67,The Unbearable Weight of Massive Talent,107,Action,7,Tom Gormican,Nicolas Cage,246,
,,,,,,,,
68,The Wolf of Wall Street,180,Biography,8.2,Martin Scorsese,Leonardo DiCaprio,13,
,,,,,,,,
69,Joker,122,Crime,8.4,Todd Phillips,Joaquin Phoenix,8,
,,,,,,,,
70,Close,104,Drama,7.9,Lukas Dhont,Eden Dambrine,21,
,,,,,,,,
71,The Departed,151,Crime,8.5,Martin Scorsese,Leonardo DiCaprio,11,
,,,,,,,,
72,To Leslie,119,Drama,7.1,Michael Morris,Andrea Riseborough,153,
,,,,,,,,
73,Devotion,139,Action,6.6,J.D. Dillard,Jonathan Majors,46,
,,,,,,,,
74,John Wick,101,Action,7.4,Chad Stahelski,Keanu Reeves,197,
,,,,,,,,
75,Roald Dahl's Matilda the Musical,117,Comedy,7.1,Matthew Warchus,Alisha Weir,62,
,,,,,,,,
76,Ticket to Paradise,104,Comedy,6.2,Ol Parker,George Clooney,134,
,,,,,,,,
77,The Hunger Games,142,Action,7.2,Gary Ross,Jennifer Lawrence,245,
,,,,,,,,
78,Black Swan,108,Drama,8,Darren Aronofsky,Natalie Portman,222,
,,,,,,,,
79,Whiplash,106,Drama,8.5,Damien Chazelle,Miles Teller,237,
,,,,,,,,
80,Hereditary,127,Drama,7.3,Ari Aster,Toni Collette,103,
,,,,,,,,
81,Scream,114,Horror,6.3,Matt Bettinelli-Olpin,Melissa Barrera,27,
,,,,,,,,
82,The Help,146,Drama,8.1,Tate Taylor,Viola Davis,147,
,,,,,,,,
83,RRR,187,Action,7.9,S.S. Rajamouli,N.T. Rama Rao Jr.,35,
,,,,,,,,
84,Viking Wolf,97,Horror,5.1,Stig Svendsen,Liv Mjönes,127,
,,,,,,,,
85,Nobody,92,Action,7.4,Ilya Naishuller,Bob Odenkirk,85,
,,,,,,,,
86,The Black Phone,103,Horror,6.9,Scott Derrickson,Mason Thames,49,
,,,,,,,,
87,The Gray Man,122,Action,6.5,Anthony Russo,Ryan Gosling,65,
,,,,,,,,
88,Rosaline,95,Comedy,6.4,Karen Maine,Kaitlyn Dever,214,
,,,,,,,,
89,Midsommar,148,Drama,7.1,Ari Aster,Florence Pugh,108,
,,,,,,,,
90,Infinite,106,Action,5.4,Antoine Fuqua,Mark Wahlberg,162,
,,,,,,,,
91,Edge of Tomorrow,113,Action,7.9,Doug Liman,Tom Cruise,210,
,,,,,,,,
92,Vengeance,107,Comedy,6.8,B.J. Novak,B.J. Novak,79,
,,,,,,,,
93,Harry Potter and the Goblet of Fire,157,Adventure,7.7,Mike Newell,Daniel Radcliffe,193,
,,,,,,,,
94,Blonde,167,Biography,5.5,Andrew Dominik,Ana de Armas,185,
,,,,,,,,
95,Parasite,132,Drama,8.5,Bong Joon Ho,Song Kang-ho,234,
,,,,,,,,
96,Decision to Leave,139,Crime,7.3,Park Chan-wook,Park Hae-il,105,
,,,,,,,,
97,The Gentlemen,113,Action,7.8,Guy Ritchie,Matthew McConaughey,113,
,,,,,,,,
98,Irreversible,97,Crime,7.3,Gaspar Noé,Monica Bellucci,37,
,,,,,,,,
