,Title,Runtime.x,Rating.x,Director.x,Lead.x,Votes.x,Budget,Sequel,Rounded,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical
1,Babylon,189,7.3,Damien Chazelle,Brad Pitt,216,78000000,0,7,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Black Panther: Wakanda Forever,161,6.8,Ryan Coogler,Letitia Wright,71,250000000,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Avatar: The Way of Water,192,7.8,James Cameron,Sam Worthington,96,350000000,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,The Menu,107,7.2,Mark Mylod,Ralph Fiennes,81,35000000,0,7,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,The Banshees of Inisherin,114,7.8,Martin McDonagh,Colin Farrell,40,20000000,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Everything Everywhere All at Once,139,8,Dan Kwan,Michelle Yeoh,106,25000000,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Puss in Boots: The Last Wish,102,7.9,Joel Crawford,Antonio Banderas,230,90000000,1,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,White Noise,136,5.7,Noah Baumbach,Adam Driver,104,80000000,0,6,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,The Whale,117,8,Darren Aronofsky,Brendan Fraser,98,10000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,The Fabelmans,151,7.6,Steven Spielberg,Michelle Williams,174,40000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Tár,158,7.5,Todd Field,Cate Blanchett,135,35000000,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,M3GAN,102,6.4,Gerard Johnstone,Allison Williams,200,12000000,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
13,Bullet Train,127,7.3,David Leitch,Brad Pitt,93,85900000,0,7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Triangle of Sadness,147,7.4,Ruben Östlund,Charlbi Dean,235,10000000,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Top Gun: Maverick,130,8.3,Joseph Kosinski,Tom Cruise,163,170000000,1,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Glass Onion,139,7.2,Rian Johnson,Daniel Craig,110,40000000,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,Shotgun Wedding,100,5.4,Jason Moore,Jennifer Lopez,78,68000000,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,A Man Called Otto,126,7.6,Marc Forster,Tom Hanks,53,50000000,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,All Quiet on the Western Front,148,7.8,Edward Berger,Felix Kammerer,43,20000000,0,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Aftersun,102,7.7,Charlotte Wells,Paul Mescal,122,15000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,X,105,6.6,Ti West,Mia Goth,25,1000000,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
22,The Son,123,6.1,Florian Zeller,Vanessa Kirby,94,6000000,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Magic Mike,110,6.1,Steven Soderbergh,Channing Tatum,41,7000000,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,The Pale Blue Eye,128,6.6,Scott Cooper,Christian Bale,236,72000000,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
25,Ant-Man,117,7.3,Peyton Reed,Paul Rudd,208,130000000,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,Harry Potter and the Sorcerer's Stone,152,7.6,Chris Columbus,Daniel Radcliffe,224,125000000,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27,Women Talking,104,7.5,Sarah Polley,Rooney Mara,152,134900000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Empire of Light,115,6.6,Sam Mendes,Olivia Colman,226,30000000,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,The Batman,176,7.8,Matt Reeves,Robert Pattinson,206,200000000,1,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,Elvis,159,7.3,Baz Luhrmann,Tom Hanks,59,85000000,0,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,Ant-Man and the Wasp,118,7,Peyton Reed,Paul Rudd,136,200000000,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,The Woman King,135,6.7,Gina Prince-Bythewood,Viola Davis,154,50000000,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Don't Worry Darling,123,6.2,Olivia Wilde,Florence Pugh,22,35000000,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,The VelociPastor,75,5,Brendan Steere,Greg Cohan,184,36000,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Amsterdam,134,6.1,David O. Russell,Christian Bale,203,80000000,0,6,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Avatar,162,7.9,James Cameron,Sam Worthington,9,237000000,0,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,Interstellar,169,8.6,Christopher Nolan,Matthew McConaughey,19,165000000,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,Once Upon a Time in Hollywood,161,7.6,Quentin Tarantino,Leonardo DiCaprio,219,96000000,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Where the Crawdads Sing,125,7.2,Olivia Newman,Daisy Edgar-Jones,232,24000000,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,Barbarian,102,7,Zach Cregger,Georgina Campbell,34,4500000,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41,Black Adam,125,6.4,Jaume Collet-Serra,Dwayne Johnson,76,210000000,1,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,Legally Blonde,96,6.4,Robert Luketic,Reese Witherspoon,75,18000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Knives Out,130,7.9,Rian Johnson,Daniel Craig,215,40000000,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,Love,135,6.1,Gaspar Noé,Aomi Muyock,186,3000000,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,Black Panther,134,7.3,Ryan Coogler,Chadwick Boseman,223,200000000,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,"Lyle, Lyle, Crocodile",106,6.1,Josh Gordon,Javier Bardem,227,50000000,0,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Thor: Love and Thunder,118,6.3,Taika Waititi,Chris Hemsworth,112,250000000,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Magic Mike XXL,115,5.6,Gregory Jacobs,Channing Tatum,173,14800000,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Valentine's Day,125,5.7,Garry Marshall,Julia Roberts,28,52000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Jurassic World: Dominion,147,5.6,Colin Trevorrow,Chris Pratt,54,165000000,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,Dune,155,8,Denis Villeneuve,Timothée Chalamet,201,165000000,0,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Smile,115,6.6,Parker Finn,Sosie Bacon,23,17000000,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
53,Whitney Houston: I Wanna Dance with Somebody,144,6.7,Kasi Lemmons,Naomi Ackie,241,45000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Pearl,103,7,Ti West,Mia Goth,144,NA,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,Guillermo del Toro's Pinocchio,117,7.6,Guillermo del Toro,Ewan McGregor,231,35000000,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
56,The Lord of the Rings: The Fellowship of the Ring,178,8.8,Peter Jackson,Elijah Wood,20,93000000,0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Avengers: Endgame,181,8.4,Anthony Russo,Robert Downey Jr.,6,356000000,1,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Alice, Darling",89,5.4,Mary Nighy,Anna Kendrick,95,NA,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,Bones and All,131,6.9,Luca Guadagnino,Timothée Chalamet,111,16000000,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
60,Skinamarink,100,5.1,Kyle Edward Ball,Lucas Paul,213,15000,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,The Northman,137,7.1,Robert Eggers,Alexander Skarsgård,72,60000000,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,F9: The Fast Saga,143,5.2,Justin Lin,Vin Diesel,36,200000000,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
63,Fall,107,6.4,Scott Mann,Grace Caroline Currey,172,3000000,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,Spider-Man: No Way Home,148,8.2,Jon Watts,Tom Holland,221,200000000,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,The Notebook,123,7.8,Nick Cassavetes,Gena Rowlands,175,29000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Nope,130,6.9,Jordan Peele,Daniel Kaluuya,64,68000000,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
67,The Unbearable Weight of Massive Talent,107,7,Tom Gormican,Nicolas Cage,246,30000000,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,The Wolf of Wall Street,180,8.2,Martin Scorsese,Leonardo DiCaprio,13,100000000,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
69,Joker,122,8.4,Todd Phillips,Joaquin Phoenix,8,55000000,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
70,Close,104,7.9,Lukas Dhont,Eden Dambrine,21,NA,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,The Departed,151,8.5,Martin Scorsese,Leonardo DiCaprio,11,90000000,1,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
72,To Leslie,119,7.1,Michael Morris,Andrea Riseborough,153,NA,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Devotion,139,6.6,J.D. Dillard,Jonathan Majors,46,90000000,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,John Wick,101,7.4,Chad Stahelski,Keanu Reeves,197,20000000,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
75,Roald Dahl's Matilda the Musical,117,7.1,Matthew Warchus,Alisha Weir,62,NA,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,Ticket to Paradise,104,6.2,Ol Parker,George Clooney,134,60000000,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,The Hunger Games,142,7.2,Gary Ross,Jennifer Lawrence,245,78000000,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,Black Swan,108,8,Darren Aronofsky,Natalie Portman,222,13000000,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,Whiplash,106,8.5,Damien Chazelle,Miles Teller,237,3300000,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
