Rank,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes
1,Everything Everywhere All at Once,139,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Daniel Kwan,Michelle Yeoh,"387,669"
2,The Whale,117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Darren Aronofsky,Brendan Fraser,"100,742"
3,All Quiet on the Western Front,148,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Edward Berger,Felix Kammerer,"176,418"
4,The Banshees of Inisherin,114,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Martin McDonagh,Colin Farrell,"174,120"
5,Triangle of Sadness,147,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Ruben Östlund,Thobias Thorwid,"109,386"
6,Women Talking,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Sarah Polley,Rooney Mara,"23,863"
7,Tár,158,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,Todd Field,Cate Blanchett,"60,640"
8,Puss in Boots: The Last Wish,102,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Joel Crawford,Antonio Banderas,"102,911"
9,Babylon,189,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,Damien Chazelle,Brad Pitt,"95,157"
10,The Fabelmans,151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Steven Spielberg,Michelle Williams,"76,543"
11,Scream,114,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.3,Matt Bettinelli-Olpin,Neve Campbell,"126,618"
12,Avatar: The Way of Water,192,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8,James Cameron,Sam Worthington,"319,541"
13,A Man Called Otto,126,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,Marc Forster,Tom Hanks,"42,944"
14,Top Gun: Maverick,130,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,Joseph Kosinski,Tom Cruise,"551,488"
15,RRR,187,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,S.S. Rajamouli,N.T. Rama Rao Jr.,"142,056"
16,Fall,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.4,Scott Mann,Grace Caroline Currey,"67,557"
17,Elvis,159,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.3,Baz Luhrmann,Tom Hanks,"196,768"
18,The Unbearable Weight of Massive Talent,107,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Tom Gormican,Nicolas Cage,"107,580"
19,Aftersun,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Charlotte Wells,Paul Mescal,"51,100"
20,The Menu,107,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.2,Mark Mylod,Ralph Fiennes,"271,179"
21,Black Panther: Wakanda Forever,161,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Ryan Coogler,Letitia Wright,"243,823"
22,X,105,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.6,Ti West,Mia Goth,"119,842"
23,Bullet Train,127,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,David Leitch,Brad Pitt,"322,075"
24,Shazam!,132,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,David F. Sandberg,Zachary Levi,"350,417"
25,Glass Onion,139,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.2,Rian Johnson,Daniel Craig,"364,238"
26,John Wick,101,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.4,Chad Stahelski,Keanu Reeves,"652,766"
27,The Batman,176,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8,Matt Reeves,Robert Pattinson,"683,782"
28,M3GAN,102,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6.4,Gerard Johnstone,Allison Williams,"83,650"
29,Guillermo del Toro's Pinocchio,117,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.6,Guillermo del Toro,Ewan McGregor,"89,803"
30,Living,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,Oliver Hermanus,Bill Nighy,"12,899"
31,Scream 4,111,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.2,Wes Craven,Neve Campbell,"156,847"
32,The Hunger Games,142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,Gary Ross,Jennifer Lawrence,"934,023"
33,Creed,133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.6,Ryan Coogler,Michael B. Jordan,"288,850"
34,Where the Crawdads Sing,125,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.2,Olivia Newman,Daisy Edgar-Jones,"87,630"
35,The Quiet Girl,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Colm Bairéad,Carrie Crowley,"9,780"
36,Blonde,167,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.5,Andrew Dominik,Ana de Armas,"63,391"
37,Once Upon a Time in Hollywood,161,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Quentin Tarantino,Leonardo DiCaprio,"763,928"
38,Creed II,130,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.1,Steven Caple Jr.,Michael B. Jordan,"137,465"
39,Close,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Lukas Dhont,Eden Dambrine,"15,654"
40,Don't Worry Darling,123,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2,Olivia Wilde,Florence Pugh,"107,924"
41,Marlowe,109,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5.4,Neil Jordan,Liam Neeson,"3,157"
42,Interstellar,169,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.6,Christopher Nolan,Matthew McConaughey,"1,876,805"
43,This Is Where I Leave You,103,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Shawn Levy,Jason Bateman,"83,708"
44,Pearl,103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,Ti West,Mia Goth,"49,416"
45,Smile,115,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.6,Parker Finn,Sosie Bacon,"112,631"
46,Harry Potter and the Sorcerer's Stone,152,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.6,Chris Columbus,Daniel Radcliffe,"800,174"
47,Empire of Light,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.6,Sam Mendes,Olivia Colman,"13,615"
48,Nope,130,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6.8,Jordan Peele,Daniel Kaluuya,"207,365"
49,The Help,146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Tate Taylor,Viola Davis,"467,106"
