,X,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes,Budget,Sequel,Avg_rating_director,Avg_rating_lead
1,1,Everything Everywhere All at Once,139,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Daniel Kwan,Michelle Yeoh,"392,166",25000000,0,7.4,7.9
2,2,The Whale,117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Darren Aronofsky,Brendan Fraser,"103,785",10000000,0,7.466666667,6.466666667
3,3,All Quiet on the Western Front,148,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Edward Berger,Felix Kammerer,"178,321",20000000,0,7.8,7.8
4,4,The Banshees of Inisherin,114,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Martin McDonagh,Colin Farrell,"175,986",20000000,0,7.7,7.45
5,5,Triangle of Sadness,147,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Ruben Östlund,Thobias Thorwid,"110,538",10000000,0,7.233333333,7.4
6,6,Women Talking,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Sarah Polley,Rooney Mara,"24,336",134900000,0,7,7
7,7,Tár,158,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,Todd Field,Cate Blanchett,"61,365",35000000,0,7.5,7.5
8,8,Puss in Boots: The Last Wish,102,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Joel Crawford,Antonio Banderas,"104,064",90000000,1,7.9,7.25
9,9,Babylon,189,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,Damien Chazelle,Brad Pitt,"96,099",78000000,0,7.9,7.318181818
10,10,The Fabelmans,151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Steven Spielberg,Michelle Williams,"77,289",40000000,0,7.222222222,7.6
11,11,Scream,114,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.3,Matt Bettinelli-Olpin,Neve Campbell,"127,134",24000000,0,6.55,6.25
12,12,Avatar: The Way of Water,192,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8,James Cameron,Sam Worthington,"320,469",350000000,1,7.85,7.85
13,13,A Man Called Otto,126,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Marc Forster,Tom Hanks,"44,191",50000000,0,7.2,7.542857143
14,14,Top Gun: Maverick,130,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,Joseph Kosinski,Tom Cruise,"552,728",170000000,1,6.9,7.16875
15,15,RRR,187,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,S.S. Rajamouli,N.T. Rama Rao Jr.,"142,514",42000000,0,7.9,7.9
16,16,Fall,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.4,Scott Mann,Grace Caroline Currey,"68,312",3000000,0,6.4,6.4
17,17,Elvis,159,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.3,Baz Luhrmann,Tom Hanks,"197,622",85000000,0,7.366666667,7.542857143
18,18,The Unbearable Weight of Massive Talent,107,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Tom Gormican,Nicolas Cage,"108,260",30000000,0,7,6.95
19,19,Aftersun,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Charlotte Wells,Paul Mescal,"51,740",15000000,0,7.7,7.7
20,20,The Menu,107,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.2,Mark Mylod,Ralph Fiennes,"272,759",35000000,0,7.2,7.2
21,21,Black Panther: Wakanda Forever,161,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Ryan Coogler,Letitia Wright,"244,809",250000000,1,7.2,6.7
22,22,Bullet Train,127,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,David Leitch,Brad Pitt,"323,324",85900000,0,7.166666667,7.318181818
23,23,Shazam!,132,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,David F. Sandberg,Zachary Levi,"351,138",100000000,0,7,7
24,24,Glass Onion,139,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.2,Rian Johnson,Daniel Craig,"365,501",40000000,1,7.333333333,7.542857143
25,25,John Wick,101,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.4,Chad Stahelski,Keanu Reeves,"654,082",20000000,0,7.4,6.633333333
26,26,The Batman,176,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8,Matt Reeves,Robert Pattinson,"684,471",200000000,1,7.4,7.6
27,27,M3GAN,102,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6.4,Gerard Johnstone,Allison Williams,"84,393",12000000,0,6.4,6.4
28,28,Guillermo del Toro's Pinocchio,117,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.6,Guillermo del Toro,Ewan McGregor,"90,326",35000000,0,7.525,7.45
29,29,Scream 4,111,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.2,Wes Craven,Neve Campbell,"157,096",40000000,1,6.2,6.25
30,30,The Hunger Games,142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,Gary Ross,Jennifer Lawrence,"934,541",78000000,0,6.75,6.857142857
31,31,Creed,133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.6,Ryan Coogler,Michael B. Jordan,"289,399",35000000,0,7.2,7.35
32,32,Where the Crawdads Sing,125,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.2,Olivia Newman,Daisy Edgar-Jones,"87,881",24000000,0,7.2,6.95
33,33,Blonde,167,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.5,Andrew Dominik,Ana de Armas,"63,501",22000000,0,6.5,5.5
34,34,Once Upon a Time in Hollywood,161,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Quentin Tarantino,Leonardo DiCaprio,"764,368",96000000,0,7.883333333,7.754545455
35,35,Creed II,130,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.1,Steven Caple Jr.,Michael B. Jordan,"137,925",50000000,1,7.1,7.35
36,36,Don't Worry Darling,123,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2,Olivia Wilde,Florence Pugh,"108,181",35000000,0,6.2,6.65
37,37,Interstellar,169,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.6,Christopher Nolan,Matthew McConaughey,"1,877,769",165000000,0,8.133333333,7.76
38,38,Smile,115,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.6,Parker Finn,Sosie Bacon,"113,029",17000000,0,6.6,6.6
39,39,Harry Potter and the Sorcerer's Stone,152,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.6,Chris Columbus,Daniel Radcliffe,"800,444",125000000,0,6.933333333,7.6875
40,40,Empire of Light,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.6,Sam Mendes,Olivia Colman,"13,804",30000000,0,7.24,6.933333333
41,41,Nope,130,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6.8,Jordan Peele,Daniel Kaluuya,"207,977",68000000,0,7.1,7.25
42,42,The Help,146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Tate Taylor,Viola Davis,"467,331",25000000,0,7.3,7.45
